name,description,genre
"История о девушке, которая не могла стать волшебницей [1-10 из 12]","Куруми Мирай всегда мечтала стать выдающимся магом, несмотря на то, что она из немагической семьи. В отличие от многих своих сверстников, которые происходят из престижных магических родословных, происхождение Куруми скромное, что делает ее амбиции стать высококлассным магом еще более сложными. Рядом с ней стоит Юзу Эдель, девушка из известной семьи, члены которой заканчивали Школу магии...",Драмы
Незнакомцы в другой жизни [1-10 из 12],"В мире, где когда-то нормой были браки по договоренности, современная эпоха в значительной степени отошла от таких практик. Тем не менее, остатки прошлого сохраняются, особенно в преступном мире организованной преступности. Два могущественных клана якудза, группы Сомэй и Мияма, решают возродить эту древнюю традицию, чтобы положить конец своей давней вражде. Идеальными кандидатами для...",Романтика
Нина в королевстве звёзд [1-10 из 12],"Нина, сирота с яркими голубыми глазами, прожила жизнь, полную трудностей, борясь за выживание в мире, который, казалось, не предлагал ей ничего, кроме невзгод. Она всегда заботилась о себе сама, учась ориентироваться на улицах и в приютах с тихой стойкостью. Но ее жизнь принимает неожиданный и драматический поворот, когда ее похищают и привозят в большой королевский дворец — место...",Романтика
Рон Камонохаси: Невменяемый детектив 2 [1-10 из 13],"Рон, известный детектив с репутацией исключительного таланта, всегда предпочитал уединение. Его острый ум и обостренные инстинкты позволяли ему раскрывать даже самые запутанные дела, но он избегал всеобщего внимания и общества. Рон ценил свой покой, живя в изоляции, где он мог сосредоточиться на головоломках, которые его интриговали, без вмешательства других. Он верил, что истинное...",Комедии
Арифурэта: Сильнейший ремесленник в мире 3 [1-9 из 16],"Группа школьников необъяснимым образом оказалась перенесенной в таинственный, волшебный мир, каждый из которых был наделен замечательными сверхъестественными способностями. В то время как волнение наполняло воздух, когда они исследовали свои новые способности, Хадзиме Нагумо стоял в стороне, испытывая чувство отчаяния. Его способность, сила преобразовывать твердые тела, казалась...",Приключения
Плачущий призрак на пенсии [1-11 из 12],"Наступил золотой век охоты за сокровищами, захватывающая эпоха, когда отважные искатели приключений рыщут по миру в поисках скрытых богатств, славы и известности. Каждое хранилище сокровищ таит в себе несметные богатства и потенциал для власти, привлекая бесчисленных искателей в свои опасные объятия. Для тех, кто достаточно смел, чтобы столкнуться с опасностями, награда может изменить...",Приключения
MF Призрак 2 [1-10 из 12],"Япония давно признана мировым лидером в области электроники, автомобильных технологий и развлечений. К 2020 году страна сделала смелый шаг вперед как в плане безопасности, так и в плане экологического сознания, исключив с улиц автомобили с двигателями внутреннего сгорания. Стремясь сделать чистый воздух приоритетным и сократить количество дорожно-транспортных происшествий, правительство...",Сёнен
Перерождение в аристократа со способностью анализа [1-10 из 12],"Перерождение в аристократа со способностью анализа переносит зрителей в яркий фэнтезийный мир, где их ждут приключения и интриги. История начинается в современном Токио, следуя за Казуки Сато, обычным офисным работником, привыкшим к ежедневной рутине корпоративной жизни. Казуки посвящает себя своей работе, вложив бесчисленные часы усилий, только чтобы почувствовать, что его тяжелый труд...",Приключения
Башня Бога 2 [1-23 из 24],"В мире, где возвышается таинственная Башня Бога, манящая обещаниями тайн и исполнения заветных желаний, путешествие Баама начинается неожиданно. Очарованный непоколебимым желанием своей возлюбленной Рэйчел достичь вершины башни и увидеть звезды вблизи, Баам оказывается втянутым в опасный квест, о котором он и не мечтал. Рэйчел, движимая амбициями, выходящими далеко за рамки понимания...",Детективы
Если бы моя жена стала младшеклассницей [1-11 из 12],"Сюжет аниме вращается вокруг мужчины по имени Кейсукэ, который провел последние десять лет в состоянии эмоционального оцепенения после трагической смерти своей жены Такаэ. Хотя прошло уже десять лет, Кейсукэ изо всех сил пытается двигаться дальше, все еще преследуемый потерей своей возлюбленной. Его жизнь превратилась в унылую рутину, лишенную всякой радости или смысла, хотя он делит...",Комедии
Хвост Феи: Столетний квест [1-22 из 24],"Хвост Феи: Столетний квест: миссия, настолько сложная и опасная, что она оставалась невыполненной более века. Бесчисленные маги пытались взяться за эту изнурительную задачу, только чтобы встретить сокрушительное поражение или что-то похуже. Тем не менее, Нацу Драгнил и его друзья — Люси Хартфилия, Грей Фуллбастер, Эрза Скарлет, Венди Марвелл и выдающиеся Хэппи и Шарль — амбициозно...",Комедии
