film_id,name,year,country,genre,duration,director,cast,description
0,Моана 2,2024,"Канада, США","Комедия, Мюзикл, Приключения, Семейный, Фэнтези",100.0,Дэвид Деррик мл.,"Рэйчел Хаус, Халиси Ламберт-Цуда, Setarosa Tuitasi-Ledoux, Джералд Файтала Рэмси, Аулии Кравальо, Темуэра Моррисон, Ноэми Хосефина Флорес, Алан Тьюдик, Bryson Chun, Авимаи Фрейзер","Моане предстоит долгий путь в неизведанные земли, после приглашения от предков-искателей. Девушка смогла пройти через множество испытаний и познакомится с удивительными созданиями. Также красавице удалось осознать своё прошлое и завести дружбу. Всё же отдохнуть не получится: поступает вызов от могущественных личностей, что нельзя игнорировать. Также подросток стремится узнать остальные сведения о прошлом семейства и готова отправится в настоящее приключение. Вместе с верным товарищем Мауи нужно посетить довольно опасную местность, расположенную в Океании.Моана ничего не знает об этом месте. Правда не собирается поворачивать домой, пока не получит сведения о прошлом. Постепенно обстановка меняется: спокойная местность превращается в неизведанные территории со своими жителями и принципами. Несмотря на таящуюся опасность и иные обстоятельства девушка намерена пройти путь до конца. Новые знакомства позволят преодолеть испытания и отлично провести время. Темнокожая воительница и бесстрашная красавица готова продемонстрировать навыки и вместе с другом рады появлению приключений. Правда на этом данная захватывающая история не заканчивается."
1,Приключения Паддингтона 3,2024,"США, Великобритания, Франция, Япония","Комедия, Приключения, Детектив, Фэнтези, Семейный",106.0,Дагал Уилсон,"Бен Миллер, Эмма Сиди, Хью Бонневилль, Карла Тоус, Peter Labas, Ник Оуэнфорд, Harleen Sahota, Катрин Ларисса Каспер, Джим Бродбент, Callan Taverner","Став любимым пушистым домочадцем и законным британцем в дружной семье Браунов очаровательный медведь Паддингтон счастлив и одаривается внимательной заботой, но мечты не проходят о родине и вечнозеленых джунглях Перу. С момента получения письма отзывчивый путешественник отправляется в гости к тётушке Люси в далекие и опасные края. Вместе с ним присоединяются в приключениях все представители семейства: ответственный отец Генри, его улыбчивая супруга Мэри, дети Джуди и Джонатан. С быстротой любви племянник в надежде на скорую встречу испытывает бесконечную радость.Но с удивлением не находит престарелой медведицы в уютном пансионе, где настораживается удивительной новостью от управляющей заведением монашки. С её слов выясняется, что Люси на данный момент находится в поисках Эльдорадо, причем в незнакомой дремучей местности Амазонки. Паддингтон не намерен оставлять без внимания факт вероятности беды с путешествующей родственницей. На долгом и интересном пути происходит знакомство с капитаном Хантером и его смелой дочерью Джиной. По легенде, один медвежонок станет героем и найдет дорогу к золотому городу, а в большой команде он реально начинает проявлять мужество и отвагу."
2,Миссия: Красный,2024,США,"Комедия, Боевик, Приключения, Детектив, Фэнтези",123.0,Джейк Кэздан,"Коуди Истербрук, James Cheek, Дж.К. Симмонс, Мэри Элизабет Эллис, Хуан Александр, Megan Hayes, Beau Kasdan, Шэйн Коста, Джей Петерсон, Бонни Хант","Любимый праздник детства – Рождество под угрозой срыва. Весь Северный Полюс охватила паника и беспокойство. Таинственным образом пропал главный волшебник – Санта Клаус Святой Николай. По неизвестным причинам он более известен как Красный. Отважный шериф, ответственный за безопасность Санты, Каллум Дрифт не может допустить мрачного настроения и грустных лиц детишек. Он немедленно берется за расследование, чтобы отыскать хулиганов, пытающихся испортить торжество. Понимая всю сложность и серьёзность ситуации, Дрифту придется обратиться к профессиональному детективу Джеку О' Мелли. Джек наверняка знает виновников точно. Ведь он неидеален и сам возглавляет список плохих парней. Времени у них не так много, а значит пора сгруппироваться, отодвинув на задний план взаимную неприязнь. Поиски Красного таят много опасностей. В любой момент на их пути может повстречаться группа зловредных снеговиков или ужасные фавны. Следствие идет полным ходом и есть уже первые подозреваемые в похищении новогоднего волшебника. В поле зрения сыщиков попался Крампус, который не раз уже строил козни. Джек и Каллум на своем примере докажут, что даже неприятели действуя сообща, могут победить зло."
3,Злая: Сказка о ведьме Запада,2024,США,"Боевик, Мелодрама, Приключения, Фэнтези, Семейный, Мюзикл",160.0,Джон М. Чу,"Vicki Noon, Жарлан Боголюбов, Шэрон Д. Кларк, Ариана Гранде, Идина Мензел, Бовэнь Ян, Колин Майкл Кармайкл, Hattie Ryan, Марисса Боде, Майкл МакКорри Роуз","В Стране Жевунов с жизнерадостной и игривой женой проживал губернатор. И вот однажды ее развлечения зашли так далеко, что привели к интрижке с заезжим торговцем, в результате чего она родила дочь. Был нюанс: любовник вместе с утехами угощал ее эликсиром, в результате появившийся на свет ребенок имел кожу зеленого цвета. Если младенца дражайший супруг и мог выдать за своего, то отличие в окрасе объяснить окружающим было сложно. Хоть сердце у него было мягкое, приказал немедленно убрать ее подальше с глаз. Ребенок остался при дворце, но уготованная ему судьба была несладкой.Шли годы. В Университет Шиз приезжает две девушки: одна — Глинда, до безумия прекрасная и наполненная амбициями, а вторая зеленокожая Эльфаба. Если первая все время витала в облаках и думала о розовых платьях, то второй пришлось пройти лишения и травлю. Во время учебы они стали соперницами, в результате чего завязалась дружба. Однажды их пригласили на прием Великого Волшебника, в страну Оз. Как оказалось, у него большие планы на незаконнорожденную, так как хочет сделать ее Злой ведьмой, держащей в страхе весь мир. Но две подруги возмущенные коварством, решили бороться с тираном, и бросились навстречу приключениям."
4,Дюна: Пророчество,2024,США,"Боевик, Драма, Приключения, Фантастика",45.0,Джон Камерон,"Люси Расселл, Камилла Бипут, Флора Монтгомери, Крис Мэйсон, Сара-Софи Бусснина, Трэвис Фиммел, Эрл Кейв, Дэвид Барк-Джонс, Людовик Хьюз, Лаура Ховард","«Бене Гессерит» стремятся контролировать важнейшие политические и династические цепочки по всему космосу. Они использовали свои навыки, чтобы манипулировать королевскими семьями, заключать важные браки и эффективно продвигаясь к созданию семьи, которая могла бы в дальнейшем привести к появлению Квисатца Хадераха. Их влияние является неявным и требует большой осторожности, так как через прямое вмешательство они рискуют навлечь на себя ненависть и враждебность со стороны тех, кто не понимает истинных целей ордена. Одной из самых амбициозных целей «Бене» является селективно-генетическая программа, целью которой является создание Квисатца Хадераха — сверхчеловека.Способного к ясновидению и обладающего невероятной способностью манипулировать временем и пространством. Они стремятся к тому, чтобы этот индивидуум мог объединить в себе как мужские, так и женские генетические линии, что делает его уникальным в понимании человеческой судьбы и потенциала. Обучение включает в себя способность акцентировать внимание на своем теле — достижения полного контроля над мышцами, а также психические навыки, позволяющие манипулировать другими людьми через использование «Голос», который воздействует на подсознание жертвы, заставляя ее следовать указаниям. Члены ордена также обучаются в области медицинских знаний, из которых они способны извлекать полезные и иногда даже смертельные девайсы для исцеления себя и других."
5,Тогда. Сейчас. Потом,2024,США,Драма,104.0,Роберт Земекис,"Робин Райт, Том Хэнкс, Джоэл Улетт, Albie Salter, Гвилим Ли, Элуиз Уэбб, Фэйт Делани, Delilah O'Riordan, Ellis Grunsell, Тони Вэй","Новая Англия, самый обычный, ничем не приметный дом. Жилое здание, расположенное на тихой улочке, выстроено в американском стиле. Пестрые светло-зеленые стены просторной гостиной густо увешаны небольшими картинами (в круглых и квадратных рамках). На улицу выходит большое окно с белой рамой, обрамленное плотными шторами песчаного оттенка. В углу стоит компактная черная этажерка для мелочей, по другую сторону – камин, а в центре расположился уютный бархатный диван с двумя объемными торшерами. На протяжении нескольких десятилетий это помещение повидало не мало человеческих историй. Здесь раздавался детский смех, рекой лились слезы утрат, собирались шумные компании, зарождались молодые семьи, уходили на покой старики. В середине прошлого столетия в этой комнате появился ребенок. Мальчика назвали Ричардом. Вся жизнь героя пробежала в этом атмосферном уголке как один день. Вот малыш только учился ходить под стол, как уже пошел в первый класс, поступил в университет, повстречал свою первую и единственную любовь, впервые привел Маргарет домой... Вскоре на свет появляется первенец, а за ним и другие дети. Супруги стареют и берут на руки своих внуков. Жизнь течет своим чередом."
6,Веном: Последний танец,2024,"США, Великобритания, Мексика","Триллер, Боевик, Приключения, Ужасы, Фантастика",110.0,Келли Марсел,"Чиветель Эджиофор, Джаред Абрахамсон, Стивен Грэм, Пегги Лу, Norma Butikofer, Jade Nicholson-Lamb, Дэш Макклауд, Хала Финли, Мартин МакДугалл, Джейкоб Томури","Насколько тяжело сочетать в себе две сущности, не похожие друг на друга, со своими интересами, желаниями и характерами? Американский репортер по имени Эдди знает, каково это, не понаслышке, ведь внутри его организма живет симбиотическое существо из чужой вселенной. Мужчина сумел не просто укротить бывшего врага, а построить с ним крепкую дружбу. Парочка легко разделывается со злодеями, научившись умело сочетать свои силы и остроумие. Казалось бы, после пережитых кровавых битв можно отдохнуть, набраться сил на курорте, чтобы потом по старой схеме уничтожать врагов. Но неожиданно за героями начинается слежка, причем сразу с нескольких фронтов. За журналистом начали охоту вооруженные силы Соединенных штатов. Узнав об инопланетном организме, способном сосуществовать в теле человека, власти дали приказ найти Эдди и взять его под контроль. У Венома дела обстоят еще хуже: древнее зло, прародитель симбиотов Налл, решил расквитаться со своим детищем, наслав на Землю целую орду созданных им тварей. На кону стоят жизни не только старых друзей, но и всего человечества. Смогут ли приятели дать отпор противникам или героев ждет последний головокружительный танец вместе?"
7,Истерия!,2024,США,"Триллер, Ужасы",45.0,Алонсо Альварес,"Брэндон Батлер, Джессика Луза, Séydou Maiga, Marissa Chanel Hampton, Nikki Garza, Никки Хан, Aline O'Neill, Бриттани Уилкерсон, Christian Chase Jones, Джессика Треска","События происходят в Америке 80-х годов, когда общество охвачено страхом перед оккультными ритуалами и массовой истерией по поводу «сатанинских культов». В небольшом, спокойном пригороде происходит исчезновение звезды школьной футбольной команды. Спустя короткое время начинают ходить слухи, что парень стал жертвой темных сил. Общественное мнение быстро склоняется к мысли, что в этом виноваты сатанисты. На фоне этих событий местная хэви-метал-группа под названием Dethkrunch решает сыграть на волне всеобщей паники. Парни публично заявляют о своем якобы сатанинском культе, чтобы привлечь к себе внимание и заработать популярность. Однако их провокационная выходка не проходит без последствий: паранойя общества перерастает в безудержную охоту на ведьм, и музыканты неожиданно оказываются в центре общественного осуждения и преследования. Когда слухи и страхи достигают апогея, группа сталкиваются с реальными угрозами как от полиции, так и от разгневанных горожан. Подростковая попытка привлечь внимание оборачивается катастрофой, и каждый шаг героев поднимает новые вопросы: насколько далеко могут зайти массовые страхи и какие границы готово перейти общество в поисках виновных?"
8,Гладиатор 2,2024,"США, Великобритания","Драма, Боевик, Приключения",148.0,Ридли Скотт,"Элфи Темпест, Пол Кэнделент, Джозеф Куинн, Адриан Ховард, Юваль Гонен, Ли Чарльз, Stathis Papadopoulos, Михаил Басмаджян, Дензел Вашингтон, Майк Пэриш","Власть, интриги, коварство - всё это неотъемлемые черты древнего города Рим, столицы могущественной империи, где толпы людей пируют, смотря как в агонии бьются рабы на огромной арене знаменитого Колизея. Главный герой - Луций, племянник деспотичного императора Комода, в ранней юности сбегает из Вечного города, после того, как властного родственника убил гладиатор Максимус, мстя за смерть своей семьи. Прошло 20 лет, огромной страной теперь руководят помешанные на войне и крови двое полубезумных императоров Каракалла и Гету.Ничем не примечательная жизнь героя в один день оборачивается катастрофой, когда в его тихий город приходит римская армия во главе с талантливым генералом Марком Акцием. Город пал, а самого Луция делают рабом. Но на его удачу с ним знакомится хитрый торговец оружия Макрин, предложивший атлетичному пленному стать гладиатором и получить шанс отомстить человеку, разрушившему его жизнь - военачальнику Акцию. У самого же дельца на уме долгоиграющие планы по захвату власти во всей империи и желание свести счёты с Римом за унижения в рабском прошлом. Удастся ли временным союзникам совершить свои вендетты и какое будущее будет ждать всё античное государство?"
9,Дорогуша,2024,Великобритания,"Драма, Комедия",45.0,Элла Джонс,"Александра Доулинг, Нитин Ганатра, Кэлам Линч, Лорис Скарпа, Уильям Эндрюс, Gurjot Dhaliwal, Coco Sully, Mimo Miyagi, Люк Кемпнер, Дастин Демри-Бёрнс","Рианнон Льюис скромная и ничем не примечательная женщина. На первый взгляд она кажется доброй, отзывчивой, готовой помочь в любой ситуации. Однако за этой маской скрывается нечто большее, что самообманом подавлялось долгие годы. Ее жизнь лишена ярких событий: будни превращены в рутину из бессмысленных обязанностей офис-менеджера, где начальник не видит в ней ничего, кроме исполнителя мелких поручений. В отношениях с партнером застой: он не хочет говорить о будущем или строить планы на семью, что ранит ее сильнее, чем она готова признать. А вокруг только разговоры друзей о свадебных подготовках и счастливых событиях, которые подчеркивают ее одиночество. На этом фоне добавляется тень горя: отец тяжело болен, и каждый день кажется испытанием на прочность. Несмотря на это, Рианнон держится стойко, без жалоб справляясь с накопившейся болью. Она привыкла терпеть, загоняя свои страхи и обиды глубоко внутрь. Все меняется в одну роковую ночь. Она сталкивается с трагедией, которая разрушает последние остатки внутреннего спокойствия. Пережив травмирующий опыт, Рианнон больше не может сдерживать того, кто так долго дремал в ее душе. Необъяснимая темная сила, заключенная внутри нее, вырывается наружу, стирая грани между подавленной болью и яростью. Вместе с этим начинают всплывать давно забытые воспоминания, от которых она пыталась скрыться."
